t,amp
0.3494140625,-1243.9504
0.349609375,-1243.4183
0.3498046875,-1243.6084
0.35,-1243.6844
0.3501953125,-1243.6464
0.350390625,-1243.7604
0.3505859375,-1243.6464
0.35078125,-1243.9125
0.3509765625,-1244.2545
0.351171875,-1243.8744
0.3513671875,-1244.1024
0.3515625,-1244.5966
0.3517578125,-1244.4446
0.351953125,-1244.4825
0.3521484375,-1244.7487
0.35234375,-1244.5586
0.3525390625,-1244.4065
0.352734375,-1244.4065
0.3529296875,-1244.0265
0.353125,-1244.0265
0.3533203125,-1244.0645
0.353515625,-1243.6084
0.3537109375,-1243.7224
0.35390625,-1244.3685
0.3541015625,-1244.2166
0.354296875,-1243.7224
0.3544921875,-1243.8744
0.3546875,-1243.8744
0.3548828125,-1243.5703
0.355078125,-1243.5323
0.3552734375,-1243.4944
0.35546875,-1243.4183
0.3556640625,-1243.7604
0.355859375,-1243.7224
0.3560546875,-1243.2283
0.35625,-1243.6084
0.3564453125,-1243.7985
0.356640625,-1243.3423
0.3568359375,-1243.3043
0.35703125,-1243.6084
0.3572265625,-1243.2283
0.357421875,-1242.9242
0.3576171875,-1243.3804
0.3578125,-1243.4183
0.3580078125,-1243.1903
0.358203125,-1243.0763
0.3583984375,-1242.6582
0.35859375,-1242.5061
0.3587890625,-1242.5061
0.358984375,-1242.05
0.3591796875,-1242.05
0.359375,-1242.4681
0.3595703125,-1242.5442
0.359765625,-1242.2401
0.3599609375,-1242.5442
0.36015625,-1242.5442
0.3603515625,-1242.3162
0.360546875,-1242.4681
0.3607421875,-1242.4302
0.3609375,-1242.7722
0.3611328125,-1242.8102
0.361328125,-1242.3921
0.3615234375,-1242.7343
0.36171875,-1242.8483
0.3619140625,-1242.2401
0.362109375,-1242.088
0.3623046875,-1242.2401
0.3625,-1242.1261
0.3626953125,-1242.2021
0.362890625,-1242.1641
0.3630859375,-1242.05
0.36328125,-1242.2781
0.3634765625,-1242.3162
0.363671875,-1241.974
0.3638671875,-1242.2781
0.3640625,-1242.3162
0.3642578125,-1241.594
0.364453125,-1241.784
0.3646484375,-1241.936
0.36484375,-1241.4039
0.3650390625,-1241.3279
0.365234375,-1241.594
0.3654296875,-1241.746
0.365625,-1242.0121
0.3658203125,-1242.05
0.366015625,-1241.8981
0.3662109375,-1242.3541
0.36640625,-1242.6962
0.3666015625,-1242.3162
0.366796875,-1242.3541
0.3669921875,-1242.7343
0.3671875,-1242.3162
0.3673828125,-1241.822
0.367578125,-1241.746
0.3677734375,-1241.48
0.36796875,-1241.5559
0.3681640625,-1241.746
0.368359375,-1241.632
0.3685546875,-1242.1261
0.36875,-1242.3541
0.3689453125,-1242.0121
0.369140625,-1242.05
0.3693359375,-1242.1641
0.36953125,-1241.86
0.3697265625,-1241.708
0.369921875,-1241.822
0.3701171875,-1241.708
0.3703125,-1241.746
0.3705078125,-1241.784
0.370703125,-1241.518
0.3708984375,-1241.86
0.37109375,-1242.088
0.3712890625,-1241.822
0.371484375,-1241.86
0.3716796875,-1242.1641
0.371875,-1242.05
0.3720703125,-1241.822
0.372265625,-1241.936
0.3724609375,-1241.822
0.37265625,-1241.518
0.3728515625,-1241.366
0.373046875,-1240.9479
0.3732421875,-1240.8339
0.3734375,-1240.9858
0.3736328125,-1240.4537
0.373828125,-1240.4917
0.3740234375,-1240.9858
0.37421875,-1240.6818
0.3744140625,-1240.6818
0.374609375,-1241.0999
0.3748046875,-1240.9858
0.375,-1240.9858
0.3751953125,-1240.9098
0.375390625,-1240.6438
0.3755859375,-1240.8339
0.37578125,-1240.4158
0.3759765625,-1239.8456
0.376171875,-1240.2637
0.3763671875,-1240.2637
0.3765625,-1239.9977
0.3767578125,-1240.2637
0.376953125,-1240.6818
0.3771484375,-1240.7578
0.37734375,-1240.8718
0.3775390625,-1241.0619
0.377734375,-1241.0238
0.3779296875,-1241.2139
0.378125,-1241.1759
0.3783203125,-1240.7578
0.378515625,-1240.8339
0.3787109375,-1241.0999
0.37890625,-1240.9858
0.3791015625,-1240.6818
0.379296875,-1240.9858
0.3794921875,-1241.4419
0.3796875,-1241.2899
0.3798828125,-1241.366
0.380078125,-1241.822
0.3802734375,-1241.822
0.38046875,-1241.48
0.3806640625,-1241.2899
0.380859375,-1241.0999
0.3810546875,-1241.0238
0.38125,-1241.1759
0.3814453125,-1241.0999
0.381640625,-1240.7578
0.3818359375,-1240.7578
0.38203125,-1240.7958
0.3822265625,-1240.2257
0.382421875,-1240.0736
0.3826171875,-1240.6438
0.3828125,-1240.3018
0.3830078125,-1239.8076
0.383203125,-1240.2637
0.3833984375,-1240.3397
0.38359375,-1240.0736
0.3837890625,-1240.3397
0.383984375,-1240.7958
0.3841796875,-1240.8718
0.384375,-1240.8339
0.3845703125,-1241.0238
0.384765625,-1240.9098
0.3849609375,-1240.7578
0.38515625,-1240.9098
0.3853515625,-1240.7578
0.385546875,-1240.8339
0.3857421875,-1240.9858
0.3859375,-1240.6438
0.3861328125,-1240.3397
0.386328125,-1240.6438
0.3865234375,-1240.7198
0.38671875,-1240.1117
0.3869140625,-1240.0356
0.387109375,-1240.3777
0.3873046875,-1240.1497
0.3875,-1239.8837
0.3876953125,-1240.1117
0.387890625,-1240.1877
0.3880859375,-1239.7697
0.38828125,-1239.8076
0.3884765625,-1240.1117
0.388671875,-1239.9216
0.3888671875,-1239.5035
0.3890625,-1239.3895
0.3892578125,-1239.3895
0.389453125,-1239.1615
0.3896484375,-1238.9714
0.38984375,-1238.9714
0.3900390625,-1238.8195
0.390234375,-1238.8574
0.3904296875,-1238.9335
0.390625,-1239.0475
0.3908203125,-1239.1615
0.391015625,-1239.1615
0.3912109375,-1238.9714
0.39140625,-1238.7054
0.3916015625,-1238.8195
0.391796875,-1238.6674
0.3919921875,-1238.4773
0.3921875,-1238.9335
0.3923828125,-1239.2755
0.392578125,-1238.8195
0.3927734375,-1238.7054
0.39296875,-1239.2375
0.3931640625,-1238.8954
0.393359375,-1238.5154
0.3935546875,-1238.8954
0.39375,-1238.9714
0.3939453125,-1238.4773
0.394140625,-1238.5533
0.3943359375,-1238.9714
0.39453125,-1238.7434
0.3947265625,-1238.5154
0.394921875,-1238.7814
0.3951171875,-1238.8574
0.3953125,-1238.5914
0.3955078125,-1238.6294
0.395703125,-1238.5533
0.3958984375,-1238.2493
0.39609375,-1238.2113
0.3962890625,-1238.3633
0.396484375,-1238.4014
0.3966796875,-1238.4393
0.396875,-1238.3633
0.3970703125,-1238.1353
0.397265625,-1238.2113
0.3974609375,-1238.2493
0.39765625,-1237.8693
0.3978515625,-1237.5652
0.398046875,-1237.9833
0.3982421875,-1238.2874
0.3984375,-1238.0212
0.3986328125,-1237.9452
0.398828125,-1238.2874
0.3990234375,-1238.2113
0.39921875,-1237.7552
0.3994140625,-1237.9452
0.399609375,-1238.0593
0.3998046875,-1237.7552
0.4,-1237.6412
0.4001953125,-1237.9072
0.400390625,-1237.9072
0.4005859375,-1237.6412
0.40078125,-1237.5271
0.4009765625,-1237.4512
0.401171875,-1237.3751
0.4013671875,-1237.8312
0.4015625,-1238.2113
0.4017578125,-1237.9452
0.401953125,-1237.9072
0.4021484375,-1238.0973
0.40234375,-1237.9452
0.4025390625,-1237.4512
0.402734375,-1237.4512
0.4029296875,-1237.6031
0.403125,-1237.0331
0.4033203125,-1236.577
0.403515625,-1236.767
0.4037109375,-1237.071
0.40390625,-1236.691
0.4041015625,-1236.4249
0.404296875,-1236.691
